"Type","O_name","N_name","F"
"KEYWORD","150 Chingz Indian Ads.json 1110","""Chingz"" ,Indian Ads",""
"KEYWORD","151 Everest Indian Ads.json 1110","""Everest"" masale, Ads",""
"","Keyword Count: 13","",""
"","","",""
"SUBHEAD","Chips","",""
"","","",""
"KEYWORD","152 Bingo Indian Ads.json 1110","""Bingo"" wafers, Indian Ads ",""
"KEYWORD","153 Haldiram's Chips Indian Ads.json 1110","""Haldiram"" wafers, Indian Ads",""
"KEYWORD","154 Too Yum Indian Ads.json 1110","""Too Yum"" chips, Indian Ads",""
"KEYWORD","155 Crax Indian Ads.json 1110","""Crax"" wafers, Indian Ads",""
"KEYWORD","156 Oyes Indian Ads.json 1110","""Oyes"" wafers, Indian Ads",""
"KEYWORD","157 Lay's Indian Ads.json 1110","""Lay's"" wafers, Indian Ads",""
"KEYWORD","158 Uncle Chips Indian Ads.json 1110","""Uncle Chips"", Indian Ads",""
"KEYWORD","159 Balaji Wafers Indian Ads.json 1110","""Balaji Wafers"", Indian Ads",""
"KEYWORD","160 Indian Chips Ads.json 1110","",""
"KEYWORD","161 Yellow Diamond Indian Ads.json 1110","""Yellow Diamond"" wafers, Indian Ads",""
"KEYWORD","162 Cheetos Indian Ads.json 1110","""Cheetos Indian"" wafers, Ads",""
"KEYWORD","163 Kurkure Indian Ads.json 1110","""Kurkure Indian"" wafers, Ads",""
"KEYWORD","164 Parle's Wafers Indian Ads.json 1110","""Parle's Wafers"" wafers, Indian Ads",""
"","","",""
"","","",""
"SUBHEAD","Food Delivery Apps","",""
"","","""Blinkit"", Indian Ads",""
"KEYWORD","165 EatSure Indian Ads.json 1110","""EatSure"", Indian Ads",""
"KEYWORD","166 Deliveroo Indian Ads.json 1110","""Deliveroo"", Indian Ads",""
"KEYWORD","167 Swiggy Indian Ads.json 1110","""Swiggy"", Indian Ads",""
"KEYWORD","168 TravelKhana Indian Ads.json 1110","""TravelShana"", Indian Ads",""
"KEYWORD","169 Eatfit Indian Ads.json 1110","""Eatfit"", Indian Ads",""
"KEYWORD","170 FreshMenu Indian Ads.json 1110","""FreshSenu"", Indian Ads",""
"KEYWORD","171 Oven Story Indian Ads.json 1110","""OvenStory"", Indian Ads",""
"KEYWORD","172 Eatsure Indian Ads.json 1110","""Eatsure"", Indian Ads",""
